Entity,Code,Year,"Crops - Cocoa, beans - 661 - Production - 5510 - tonnes"
Africa,,1961,835368
Africa,,1962,867170
Africa,,1963,922621
Africa,,1964,1190061
Africa,,1965,874245
Africa,,1966,969648
Africa,,1967,982906
Africa,,1968,855617
Africa,,1969,1004663
Africa,,1970,1120835
Africa,,1971,1178239
Africa,,1972,1036633
Africa,,1973,966647
Africa,,1974,1024998
Africa,,1975,1004331
Africa,,1976,876150
Africa,,1977,935141
Africa,,1978,909069
Africa,,1979,1014544
Africa,,1980,1025805
Africa,,1981,1063505
Africa,,1982,886804
Africa,,1983,890274
Africa,,1984,1073104
Africa,,1985,1091393
Africa,,1986,1172902
Africa,,1987,1202157
Africa,,1988,1527569
Africa,,1989,1526251
Africa,,1990,1521760
Africa,,1991,1437082
Africa,,1992,1557615
Africa,,1993,1507815
Africa,,1994,1573020
Africa,,1995,1909831
Africa,,1996,2145525
Africa,,1997,1940484
Africa,,1998,2171508
Africa,,1999,1993328
Africa,,2000,2350854
Africa,,2001,2114952
Africa,,2002,2140545
Africa,,2003,2444772
Africa,,2004,2795671
Africa,,2005,2720082
Africa,,2006,2926067
Africa,,2007,2559619
Africa,,2008,2836711
Africa,,2009,2709217
Africa,,2010,2783863
Africa,,2011,3099219
Africa,,2012,3131100
Africa,,2013,3017063
Africa,,2014,3229770
Africa,,2015,3359736
Africa,,2016,3246856
Africa,,2017,3736934
Africa,,2018,3732447
American Samoa,ASM,1961,5
American Samoa,ASM,1962,7
American Samoa,ASM,1963,10
American Samoa,ASM,1964,2
American Samoa,ASM,1965,5
American Samoa,ASM,1966,10
American Samoa,ASM,1967,20
American Samoa,ASM,1968,20
American Samoa,ASM,1969,24
American Samoa,ASM,1970,24
American Samoa,ASM,1971,22
American Samoa,ASM,1972,22
American Samoa,ASM,1973,20
American Samoa,ASM,1974,20
American Samoa,ASM,1975,18
American Samoa,ASM,1976,18
American Samoa,ASM,1977,16
American Samoa,ASM,1978,15
American Samoa,ASM,1979,15
American Samoa,ASM,1980,15
