,Christian,Protestant,Catholic,Mormon,Orthodox Christian,Other Christian,Non-Christian faiths,Jewish,Muslim,Buddhist,Hindu,Other,Unaffiliated,Atheist,Agnostic,Nothing in particular,Don’t know/refused,
2009,77,51,23,2,1,,5,2,1,1,<1,2,17,2,3,12,2,100
2010,76,51,23,2,1,,5,2,1,<1,<1,2,17,2,2,12,2,100
2011,75,50,23,2,1,,5,2,1,1,<1,2,19,2,3,14,1,100
2012,73,49,22,2,1,,6,2,1,1,<1,2,19,2,3,14,2,100
2013,73,49,22,2,1,,5,2,1,1,<1,2,20,3,3,14,2,100
2014,71.0,48.0,21.0,2.0,1.0,,6.0,2.0,1.0,1.0,1.0,2.0,21.0,3.0,3.0,14.0,1.0,100.0
2015,69.0,46.0,21.0,2.0,1.0,,6.0,1.0,1.0,1.0,1.0,2.0,24.0,4.0,4.0,16.0,1.0,100.0
2016,68.0,44.0,21.0,2.0,1.0,,7.0,2.0,1.0,1.0,1.0,3.0,23.0,4.0,4.0,16.0,2.0,100.0
2017,67.0,45.0,20.0,2.0,1.0,,6.0,2.0,1.0,1.0,1.0,2.0,25.0,4.0,5.0,16.0,2.0,100.0
2019,65,43,20,2,<1,,7,2,1,1,1,3,26,4,5,17,2,100
